question-ref,group,participant,accuracy,score,confidence
question-mission12-agent0,control,A7P3R1AIA4TVV,1,3,3
question-mission85-agent0,control,A7P3R1AIA4TVV,1,4,4
question-mission26-agent0,control,A7P3R1AIA4TVV,0,-4,4
question-mission74-agent2,control,A7P3R1AIA4TVV,0,-2,2
question-mission12-agent0,control,A272X64FOZFYLB,1,3,3
question-mission85-agent0,control,A272X64FOZFYLB,1,4,4
question-mission26-agent0,control,A272X64FOZFYLB,1,3,3
question-mission74-agent2,control,A272X64FOZFYLB,0,-3,3
question-mission12-agent0,control,A1DMXEJGJY02E1,0,-4,4
question-mission85-agent0,control,A1DMXEJGJY02E1,1,4,4
question-mission26-agent0,control,A1DMXEJGJY02E1,0,-2,2
question-mission74-agent2,control,A1DMXEJGJY02E1,0,-3,3
question-mission13-agent0,control,A38Z99XF4NDNH0,0,-1,1
question-mission95-agent0,control,A38Z99XF4NDNH0,1,2,2
question-mission75-agent0,control,A38Z99XF4NDNH0,0,-4,4
question-mission54-agent0,control,A38Z99XF4NDNH0,0,-4,4
question-mission13-agent0,control,A1K5ILJMG439M5,1,2,2
question-mission95-agent0,control,A1K5ILJMG439M5,1,3,3
question-mission75-agent0,control,A1K5ILJMG439M5,1,2,2
question-mission54-agent0,control,A1K5ILJMG439M5,0,-1,1
question-mission13-agent0,control,A19ZWBQT8A3LIR,1,2,2
question-mission95-agent0,control,A19ZWBQT8A3LIR,1,3,3
question-mission75-agent0,control,A19ZWBQT8A3LIR,1,2,2
question-mission54-agent0,control,A19ZWBQT8A3LIR,1,4,4
question-mission24-agent0,control,A3MLUEOP3CCLXL,0,-2,2
question-mission94-agent0,control,A3MLUEOP3CCLXL,0,-4,4
question-mission37-agent0,control,A3MLUEOP3CCLXL,1,3,3
question-mission10-agent0,control,A3MLUEOP3CCLXL,0,-2,2
question-mission24-agent0,control,A1FYWSPNO7KN1O,1,3,3
question-mission94-agent0,control,A1FYWSPNO7KN1O,1,4,4
question-mission37-agent0,control,A1FYWSPNO7KN1O,1,4,4
question-mission10-agent0,control,A1FYWSPNO7KN1O,1,3,3
question-mission24-agent0,control,A38NFX88VZDMJ3,1,3,3
question-mission94-agent0,control,A38NFX88VZDMJ3,1,4,4
question-mission37-agent0,control,A38NFX88VZDMJ3,0,-1,1
question-mission10-agent0,control,A38NFX88VZDMJ3,1,3,3
question-mission24-agent0,control,A17Q4QN6UE0EZC,1,3,3
question-mission94-agent0,control,A17Q4QN6UE0EZC,1,4,4
question-mission37-agent0,control,A17Q4QN6UE0EZC,1,3,3
question-mission10-agent0,control,A17Q4QN6UE0EZC,1,3,3
question-mission25-agent2,control,AQAXDL1INQC9Q,0,-3,3
question-mission82-agent0,control,AQAXDL1INQC9Q,1,4,4
question-mission52-agent7,control,AQAXDL1INQC9Q,0,-3,3
