question-ref,group,participant,accuracy,score
question-mission12-agent0,control,A7P3R1AIA4TVV,1.0,3.0
question-mission26-agent0,control,A7P3R1AIA4TVV,0.0,-4.0
question-mission12-agent0,control,A272X64FOZFYLB,1.0,3.0
question-mission26-agent0,control,A272X64FOZFYLB,1.0,3.0
question-mission12-agent0,control,A1DMXEJGJY02E1,0.0,-4.0
question-mission26-agent0,control,A1DMXEJGJY02E1,0.0,-2.0
question-mission13-agent0,control,A38Z99XF4NDNH0,0.0,-1.0
question-mission75-agent0,control,A38Z99XF4NDNH0,0.0,-4.0
question-mission54-agent0,control,A38Z99XF4NDNH0,0.0,-4.0
question-mission13-agent0,control,A1K5ILJMG439M5,1.0,2.0
question-mission75-agent0,control,A1K5ILJMG439M5,1.0,2.0
question-mission54-agent0,control,A1K5ILJMG439M5,0.0,-1.0
question-mission13-agent0,control,A19ZWBQT8A3LIR,1.0,2.0
question-mission75-agent0,control,A19ZWBQT8A3LIR,1.0,2.0
question-mission54-agent0,control,A19ZWBQT8A3LIR,1.0,4.0
question-mission24-agent0,control,A3MLUEOP3CCLXL,0.0,-2.0
question-mission37-agent0,control,A3MLUEOP3CCLXL,1.0,3.0
question-mission10-agent0,control,A3MLUEOP3CCLXL,0.0,-2.0
question-mission24-agent0,control,A1FYWSPNO7KN1O,1.0,3.0
question-mission37-agent0,control,A1FYWSPNO7KN1O,1.0,4.0
question-mission10-agent0,control,A1FYWSPNO7KN1O,1.0,3.0
question-mission24-agent0,control,A38NFX88VZDMJ3,1.0,3.0
question-mission37-agent0,control,A38NFX88VZDMJ3,0.0,-1.0
question-mission10-agent0,control,A38NFX88VZDMJ3,1.0,3.0
question-mission24-agent0,control,A17Q4QN6UE0EZC,1.0,3.0
question-mission37-agent0,control,A17Q4QN6UE0EZC,1.0,3.0
question-mission10-agent0,control,A17Q4QN6UE0EZC,1.0,3.0
question-mission11-agent0,control,AQAXDL1INQC9Q,0.0,-3.0
question-mission11-agent0,control,A1VAL7L9L79IN0,1.0,2.0
question-mission11-agent0,control,A2QPMJ4GADLUW2,1.0,4.0
